"","c1","c2","weight"
"23957","NEUROG3","ZSCAN12",0.00558371208721656
"5979","E2F8","NEUROG1",0.00573332307893764
"3716","CDX4","NEUROG3",0.00588323110298518
"8563","FLI1","NEUROD1",0.00620850935707854
"8567","FLI1","NEUROG3",0.00626939327131033
"3714","CDX4","NEUROG1",0.00629007567701973
"23487","NEUROD1","ZSCAN12",0.00630179297790457
"23724","NEUROG1","ZSCAN12",0.0064218526716818
"5977","E2F8","NEUROD1",0.00646650120700796
"3712","CDX4","NEUROD1",0.00661034016496601
"5981","E2F8","NEUROG3",0.00664052021101335
"23606","NEUROD6","ZSCAN12",0.00669255386776206
"3713","CDX4","NEUROD6",0.00676658666121574
"5978","E2F8","NEUROD6",0.00685842490668752
"23420","NEUROD1","SALL4",0.00694683090428085
"23890","NEUROG3","SALL4",0.00706873135533069
"8564","FLI1","NEUROD6",0.00708371147247383
"8565","FLI1","NEUROG1",0.00736036827139165
"23657","NEUROG1","SALL4",0.00747871402778301
"7934","FEV","NEUROG3",0.00768438895604941
"7930","FEV","NEUROD1",0.00770684003052239
"23539","NEUROD6","SALL4",0.00774490078255613
"3943","CEBPA","NEUROD1",0.00779163468222573
"3947","CEBPA","NEUROG3",0.00787387300943725
"7932","FEV","NEUROG1",0.00794988567844627
"7721","ETV1","NEUROG3",0.0080816907260964
"3945","CEBPA","NEUROG1",0.008176909729524
"23414","NEUROD1","RFX3",0.00851506353756592
"7719","ETV1","NEUROG1",0.00853363594854862
"3944","CEBPA","NEUROD6",0.0086165893083836
"22758","MYF6","NEUROD1",0.00871958521064584
"23416","NEUROD1","RHOXF2",0.00880203730863556
"22762","MYF6","NEUROG3",0.00892718275685543
"23411","NEUROD1","RARB",0.0090283078146619
"23881","NEUROG3","RARB",0.00915502223279854
"7717","ETV1","NEUROD1",0.00920941303419887
"373","ALX3","NEUROD1",0.00921583848480247
"23648","NEUROG1","RARB",0.00923862887294949
"23533","NEUROD6","RFX3",0.00924622828176116
"22760","MYF6","NEUROG1",0.00936175583569311
"377","ALX3","NEUROG3",0.00947304286946271
"23886","NEUROG3","RHOXF2",0.00952603489312296
"22759","MYF6","NEUROD6",0.00964962942921505
"2186","ATOH1","ZSCAN12",0.00978717659080138
"1955","ATOH1","CDX4",0.009885098227118
"23430","NEUROD1","SOX14",0.00990869395716532
"23542","NEUROD6","SIX2",0.00994474951569986
"23530","NEUROD6","RARB",0.00995047339642517
"23467","NEUROD1","ZNF181",0.00996916446343587
"374","ALX3","NEUROD6",0.0100106664427772
"23423","NEUROD1","SIX2",0.0100971018989572
"375","ALX3","NEUROG1",0.0101720453337176
"17467","HOXC4","NEUROD1",0.0102011722939155
"23849","NEUROG3","NR1H4",0.010221625096262
"21730","MESP2","NEUROD1",0.0102247753807268
"17471","HOXC4","NEUROG3",0.0102373863989874
"5980","E2F8","NEUROG2",0.0102454824164983
"7718","ETV1","NEUROD6",0.010260269331896
"23885","NEUROG3","RFX6",0.0102757962084513
"23560","NEUROD6","TAL2",0.0102977875036448
"23005","MYOD1","NEUROD1",0.0103677749632438
"23616","NEUROG1","NR1H4",0.0104181351835495
"23415","NEUROD1","RFX6",0.0104314785256629
"23943","NEUROG3","ZNF322",0.0104601543164044
"23652","NEUROG1","RFX6",0.0105132709891038
"13855","HES6","NEUROD1",0.0105766785834837
"23715","NEUROG1","ZNF501",0.0105983994711948
"13859","HES6","NEUROG3",0.0106070576666724
"23841","NEUROG2","ZSCAN12",0.0107297856233673
"23900","NEUROG3","SOX14",0.0108472090373447
"1965","ATOH1","E2F8",0.0108801713784229
"23379","NEUROD1","NR1H4",0.0108898050507908
"23667","NEUROG1","SOX14",0.0109388098891836
"23864","NEUROG3","OVOL1",0.0109761367380052
"1832","ATF5","NEUROG3",0.0109798405288444
"23009","MYOD1","NEUROG3",0.011035865876745
"1977","ATOH1","FLI1",0.0110381906353615
"3715","CDX4","NEUROG2",0.0110769247007866
"17468","HOXC4","NEUROD6",0.0110907921495379
"23660","NEUROG1","SIX2",0.0111149705803945
"23893","NEUROG3","SIX2",0.0111413670595428
"23459","NEUROD1","VSX1",0.0111454646111979
"7931","FEV","NEUROD6",0.0111560760145424
"23535","NEUROD6","RHOXF2",0.0111711017783918
"17469","HOXC4","NEUROG1",0.0112031557337122
"23710","NEUROG1","ZNF322",0.0112117651020196
"23441","NEUROD1","TAL2",0.0112357578123538
"23007","MYOD1","NEUROG1",0.0112404915090548
"23911","NEUROG3","TAL2",0.0113102143278234
"21731","MESP2","NEUROD6",0.0113249787091853
"23006","MYOD1","NEUROD6",0.0113614764315086
"23394","NEUROD1","OVOL1",0.0113814080375848
"23478","NEUROD1","ZNF501",0.0114059044287701
"23653","NEUROG1","RHOXF2",0.011423321353391
"23651","NEUROG1","RFX3",0.0114361996583546
"23387","NEUROD1","NR4A2",0.0115041480207239
"23944","NEUROG3","ZNF410",0.0115142358985146
"23473","NEUROD1","ZNF322",0.0115427375325194
"23929","NEUROG3","VSX1",0.0115922884792468
"23506","NEUROD6","NR4A2",0.011597160593474
"23937","NEUROG3","ZNF181",0.0116701344075541
"8566","FLI1","NEUROG2",0.0116804375167453
"13856","HES6","NEUROD6",0.0117289783423466
"23857","NEUROG3","NR4A2",0.0117428961867262
"1828","ATF5","NEUROD1",0.0117595077521957
"23884","NEUROG3","RFX3",0.0118285440436738
"23631","NEUROG1","OVOL1",0.0119118600745554
"23586","NEUROD6","ZNF181",0.0119205506930225
"23948","NEUROG3","ZNF501",0.0119524113845756
"1829","ATF5","NEUROD6",0.0119662246398389
"23454","NEUROD1","THRB",0.011999995070544
"7503","ETS2","NEUROD1",0.0120145963313132
"13857","HES6","NEUROG1",0.0120151323896691
"2119","ATOH1","SALL4",0.0120370855581252
"21734","MESP2","NEUROG3",0.0120553507549425
"23474","NEUROD1","ZNF410",0.0120707699200204
"23704","NEUROG1","ZNF181",0.0121909632053188
"12363","GCM2","NEUROD1",0.0121937952276282
"1588","ASCL2","NEUROD1",0.0122231283018821
"7507","ETS2","NEUROG3",0.0122343714958863
"23513","NEUROD6","OVOL1",0.0122415504015498
"23434","NEUROD1","SP6",0.0122442659782488
"23711","NEUROG1","ZNF410",0.0122774785171603
"23696","NEUROG1","VSX1",0.0123022946327005
"23380","NEUROD1","NR1I2",0.0123509272883632
"23534","NEUROD6","RFX6",0.0123549673692846
"23850","NEUROG3","NR1I2",0.0123655928149252
"23549","NEUROD6","SOX14",0.0123881157644883
"23439","NEUROD1","STAT4",0.0124294429119161
"23708","NEUROG1","ZNF280A",0.0124354891582193
"21732","MESP2","NEUROG1",0.0124393051667981
"2543","BCL6B","NEUROD6",0.0124745824036684
"1956","ATOH1","CEBPA",0.0125310493128508
"23498","NEUROD6","NR1H4",0.0125428764329554
"23624","NEUROG1","NR4A2",0.0125539038445022
"1592","ASCL2","NEUROG3",0.0125681930281364
"23924","NEUROG3","THRB",0.0125765053948155
"23578","NEUROD6","VSX1",0.0126103957583762
"23592","NEUROD6","ZNF322",0.0126931925280374
"23471","NEUROD1","ZNF280A",0.0127249452897821
"23916","NEUROG3","TCF12",0.0127696876600739
"23866","NEUROG3","PAX3",0.0127836160673565
"7505","ETS2","NEUROG1",0.0128249639186446
"20501","LHX6","NEUROG3",0.0128519941629955
"23445","NEUROD1","TBX22",0.0128622126991428
"23915","NEUROG3","TBX22",0.0128836943281613
"23617","NEUROG1","NR1I2",0.0129245517078554
"23678","NEUROG1","TAL2",0.0129327647586527
"23554","NEUROD6","SPDEF",0.0129603736611193
"23904","NEUROG3","SP6",0.013010686812293
"23476","NEUROD1","ZNF461",0.0130389663773299
"23691","NEUROG1","THRB",0.013124029999765
"1590","ASCL2","NEUROG1",0.0131469926981084
"21993","MIXL1","NEUROD1",0.0132013680439294
"2544","BCL6B","NEUROG1",0.0132642169883244
"23946","NEUROG3","ZNF461",0.0133069806840376
"23593","NEUROD6","ZNF410",0.0133146090706342
"23909","NEUROG3","STAT4",0.013343416179783
"20499","LHX6","NEUROG1",0.0133567833271011
"23477","NEUROD1","ZNF483",0.0134133323162988
"23573","NEUROD6","THRB",0.0134311338806619
"1830","ATF5","NEUROG1",0.0134898975339476
"16647","HOXA7","NEUROD1",0.0134945868909436
"21997","MIXL1","NEUROG3",0.0134956176795715
"23633","NEUROG1","PAX3",0.0135032874714746
"23638","NEUROG1","PITX1",0.0135222447141236
"7933","FEV","NEUROG2",0.0135242865853071
"2542","BCL6B","NEUROD1",0.0135264010380526
"23558","NEUROD6","STAT4",0.0135611605217826
